City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
207,Imeni Poliny Osipenko,RU,2022-01-07 19:58:09,52.4201,136.4853,-25.47,100,100,3.15
208,Aksarka,RU,2022-01-07 19:58:10,66.5606,67.7975,1.47,98,100,3.56
209,Isangel,VU,2022-01-07 19:58:10,-19.55,169.2667,77.11,83,75,4.61
210,Yangshe,CN,2022-01-07 19:58:10,31.8899,120.6052,37.99,89,21,3.31
211,Akim Swedru,GH,2022-01-07 19:58:10,5.8938,-1.0164,78.94,79,56,5.41
212,Valparaiso,CL,2022-01-07 19:58:11,-33.0393,-71.6273,70.03,64,0,9.22
213,Nizhniy Baskunchak,RU,2022-01-07 19:58:11,48.2198,46.8311,35.1,74,100,18.9
214,Margate,GB,2022-01-07 19:58:11,51.3813,1.3862,39.31,78,100,3.0
215,Mogadishu,SO,2022-01-07 19:58:01,2.0371,45.3438,77.94,84,38,22.44
216,Marzuq,YE,2022-01-07 19:58:12,14.4,46.4667,61.88,46,13,2.44
217,Charlestown,AU,2022-01-07 19:57:24,-32.95,151.6667,69.82,97,100,4.0
218,Lensk,RU,2022-01-07 19:58:12,60.7253,114.9278,-2.79,97,100,5.55
219,Hovd,MN,2022-01-07 19:58:13,48.0056,91.6419,3.69,88,100,2.62
220,Brandfort,ZA,2022-01-07 19:58:13,-28.7001,26.4597,69.21,59,44,7.65
221,Chabua,IN,2022-01-07 19:58:13,27.4825,95.1736,57.69,58,27,2.48
222,Abu Samrah,SY,2022-01-07 19:58:14,35.3029,37.1841,51.6,67,0,2.89
223,Taoudenni,ML,2022-01-07 19:58:14,22.6783,-3.9836,67.55,17,1,13.24
224,Point Pedro,LK,2022-01-07 19:54:07,9.8167,80.2333,77.94,80,99,11.97
225,Lagoa,PT,2022-01-07 19:58:14,39.05,-27.9833,58.59,59,100,5.7
226,Marawi,PH,2022-01-07 19:58:15,7.9986,124.2928,66.65,97,30,2.15
227,Waw,SS,2022-01-07 19:58:15,7.7029,27.9953,85.3,27,87,2.82
228,Manokwari,ID,2022-01-07 19:58:15,-0.8667,134.0833,77.02,80,79,4.16
229,Rawson,AR,2022-01-07 19:59:06,-43.3002,-65.1023,89.92,27,2,7.63
230,Wajir,KE,2022-01-07 19:59:16,1.7471,40.0573,87.82,36,16,9.33
